idData;nrOrders;nrPostMen;idOrder;idPostMan;maxLoad;currentLoad;activeOrder;personalGain;distance;goingToPostOfiice;estimatedTime;proposal;decision
172;16;11;16;2;9;1;2;1.4;27.831317884466053;0;60;0.9338;0
173;15;11;16;4;7;2;5;1.1;36.56399560340935;0;60;0.9647000000000001;0
174;16;11;16;7;7;0;0;1.8;24.057022669380622;0;60;1.0386;0
175;15;11;16;9;7;0;0;1.6;23.512473031753927;0;60;0.9024000000000001;1
176;16;11;16;5;7;0;0;2;25.137385696331528;0;60;1.206;0
177;17;11;17;7;7;0;0;1.8;22.997906538527644;0;72;0.9935999999999999;0
178;17;11;17;2;9;1;2;1.4;30.112201753613075;0;72;1.0122;0
179;17;11;17;11;7;0;0;2.4;22.89667445136206;0;72;1.3175999999999999;0
180;17;11;17;1;10;0;0;1.3;32.49199929013214;0;72;1.014;0
181;17;11;17;10;7;0;0;2.2;21.6244832603591;0;72;1.1418000000000001;0
182;17;11;17;4;7;1;4;1.1;37.31257438011676;0;72;0.9845000000000002;0
183;17;11;17;8;7;0;0;1.7;22.071696855859056;0;72;0.901;1
184;17;11;17;6;7;0;0;1.9;22.252238073078182;0;72;1.0146;0
185;17;11;17;9;7;1;1;1.6;20.391234189150914;0;72;0.7824;0
186;17;11;17;3;4;1;2;1.5;27.996680323445833;0;72;1.008;0
187;17;11;17;5;7;0;0;2;24.07826956547855;0;72;1.156;0
188;17;11;18;1;10;0;0;1.3;24.69199058690303;0;60;0.7709;0
189;17;11;18;10;7;0;0;2.2;13.824474557129985;0;60;0.7303999999999999;0
190;17;11;18;11;7;0;0;2.4;15.096665748132947;0;60;0.8687999999999999;0
191;17;11;18;7;7;0;0;1.8;15.197897835298534;0;60;0.657;0
192;17;11;18;3;4;1;2;1.5;23.56167162021672;0;60;0.8490000000000001;0
193;18;11;18;5;7;0;0;2;16.27826086224944;0;60;0.7819999999999999;0
194;18;11;18;8;7;0;0;1.7;14.271688152629944;0;60;0.5831;0
195;17;11;18;2;9;1;2;1.4;25.677193050383963;0;60;0.8623999999999999;1
196;17;11;18;6;7;0;0;1.9;14.452229369849068;0;60;0.6592999999999999;0
197;18;11;18;4;7;1;4;1.1;31.676534505213674;0;60;0.8360000000000001;0
198;18;11;18;9;7;1;2;1.6;15.956225485921804;0;60;0.6128;0
199;19;11;19;1;10;0;0;1.3;23.342915410040558;0;12;0.7280000000000001;0
200;18;11;19;7;7;0;0;1.8;13.84882265843606;0;12;0.5976;0
201;18;11;19;8;7;1;1;1.7;11.823810354101223;0;12;0.4811;0
202;19;11;19;6;7;0;0;1.9;13.103154192986594;0;12;0.5966;0
203;18;11;19;3;4;1;2;1.5;25.58592977668758;0;12;0.921;0
204;19;11;19;5;7;0;0;2;14.929185685386965;0;12;0.716;0
205;18;11;19;10;7;0;0;2.2;12.475399380267511;0;12;0.6578;0
206;19;11;19;11;7;0;0;2.4;13.747590571270473;0;12;0.7896;0
207;19;11;19;4;7;1;4;1.1;32.80027301623617;0;12;0.8657000000000001;0
208;18;11;19;9;7;1;2;1.6;17.980483642392663;0;12;0.6896;0
209;19;11;19;2;9;0;1;1.4;26.332996814110572;1;12;0.3584;1
210;19;11;20;7;7;0;0;1.8;22.33985125538631;0;48;0.9648000000000001;0
211;19;11;20;3;4;1;2;1.5;37.33195837363783;0;48;1.344;0
212;19;11;20;4;7;0;3;1.1;42.96304423402394;1;48;0.34980000000000006;1
213;19;11;20;10;7;0;0;2.2;20.966427977217766;0;48;1.1066;0
214;19;11;20;11;7;0;0;2.4;22.238619168220726;0;48;1.2792000000000001;0
215;19;11;20;8;7;1;1;1.7;23.569838951051477;0;48;0.9605;0
216;19;11;20;9;7;1;2;1.6;29.726512239342917;0;48;1.1408000000000003;0
217;19;11;20;2;9;0;2;1.4;31.569025411060824;1;48;0.2618;0
218;20;11;20;5;7;0;0;2;23.420214282337216;0;48;1.124;0
219;19;11;20;6;7;0;0;1.9;21.59418278993685;0;48;0.9842;0
220;20;11;20;1;10;0;0;1.3;31.833944006990812;0;48;0.9932000000000001;0
221;20;11;21;5;7;0;0;2;26.939526861218148;0;48;1.294;0
222;20;11;21;8;7;1;1;1.7;30.47748486326574;0;48;1.2444;0
223;20;11;21;6;7;0;0;1.9;25.11349536881778;0;48;1.1457000000000002;0
224;20;11;21;4;7;0;3;1.1;43.09402347957154;1;48;0.40040000000000003;0
225;20;11;21;10;7;0;0;2.2;24.485740556098698;0;48;1.2936000000000003;0
226;21;11;21;7;7;0;0;1.8;25.859163834267243;0;48;1.1178000000000001;0
227;20;11;21;3;4;1;2;1.5;44.239604285852096;0;48;1.593;0
228;20;11;21;11;7;0;0;2.4;25.757931747101658;0;48;1.4831999999999999;0
229;20;11;21;2;9;0;3;1.4;31.70000465660842;1;48;0.41159999999999997;1
230;20;11;21;9;7;1;2;1.6;36.63415815155718;0;48;1.4064;0
231;20;11;21;1;10;0;0;1.3;35.35325658587174;0;48;1.1037;0
232;22;11;22;1;10;0;0;1.3;28.09934256741701;0;36;0.8775000000000001;0
233;22;11;22;9;7;1;2;1.6;32.573577466435786;0;36;1.2512;0
234;22;11;22;11;7;0;0;2.4;18.504017728646925;0;36;1.0655999999999999;0
235;22;11;22;3;4;0;1;1.5;36.54180546005814;1;36;0.5565;0
236;22;11;22;2;9;0;3;1.4;21.25275730482036;1;36;0.1904;0
237;22;11;22;8;7;1;1;1.7;26.416904178144346;0;36;1.0778;0
238;22;11;22;6;7;0;0;1.9;17.859581350363047;0;36;0.8150999999999999;0
239;22;11;22;7;7;0;0;1.8;18.605249815812513;0;36;0.8046;0
240;22;11;22;5;7;0;0;2;19.68561284276342;0;36;0.946;0
241;22;11;22;10;7;0;0;2.2;17.231826537643965;0;36;0.9108;0
242;22;11;22;4;7;0;4;1.1;32.646776127783475;1;36;0.21230000000000002;1
243;23;11;23;9;7;1;2;1.6;42.16187321860611;0;12;1.6192000000000002;0
244;22;11;23;8;7;0;0;1.7;33.72522141627795;0;12;1.377;0
245;22;11;23;4;7;0;4;1.1;35.55173854662047;1;12;0.36410000000000003;1
246;23;11;23;1;10;0;0;1.3;34.345971652920674;0;12;1.0725;0
247;22;11;23;5;7;0;0;2;25.93224192826708;0;12;1.246;0
248;22;11;23;10;7;0;0;2.2;23.478455623147628;0;12;1.2408000000000001;0
249;22;11;23;6;7;0;0;1.9;24.10621043586671;0;12;1.1001;0
250;22;11;23;2;9;0;4;1.4;24.157719723657355;1;12;0.3836;0
251;23;11;23;3;4;0;1;1.5;39.44676787889513;1;12;0.7815000000000001;0
252;22;11;23;11;7;0;0;2.4;24.75064681415059;0;12;1.4256;0
253;23;11;23;7;7;0;0;1.8;24.851878901316173;0;12;1.0746;0
254;23;11;24;5;7;0;0;2;21.436164177084915;0;12;1.03;0
255;24;11;24;10;7;0;0;2.2;18.982377871965465;0;12;1.0032;0
256;23;11;24;2;9;4;4;1.4;18.13540500745607;0;12;0.6103999999999999;0
257;23;11;24;7;7;0;0;1.8;20.35580115013401;0;12;0.8802;0
258;24;11;24;6;7;0;0;1.9;19.610132684684547;0;12;0.8948999999999999;0
259;24;11;24;1;10;0;0;1.3;29.84989390173851;0;12;0.9321;0
260;24;11;24;8;7;0;0;1.7;29.229143665095783;0;12;1.1933999999999998;0
261;24;11;24;9;7;0;1;1.6;35.1007415309318;1;12;0.6608;0
262;24;11;24;11;7;0;0;2.4;20.254569062968425;0;12;1.1663999999999999;0
263;23;11;24;4;7;0;5;1.1;27.64566079543831;1;12;0.3542;1
264;23;11;24;3;4;0;1;1.5;31.540690127712974;1;12;0.6194999999999999;0
265;25;11;25;8;7;0;0;1.7;23.41180099296177;0;12;0.9554;0
266;25;11;25;6;7;0;0;1.9;13.79279001255053;0;12;0.6289;0
267;25;11;25;10;7;0;0;2.2;13.165035199831447;0;12;0.6952;0
268;25;11;25;9;7;0;1;1.6;25.898398858797783;1;12;0.4368000000000001;0
269;25;11;25;11;7;0;0;2.4;14.43722639083441;0;12;0.8304;0
270;25;11;25;1;10;0;0;1.3;24.032551229604493;0;12;0.7501;0
271;25;11;25;4;7;0;6;1.1;18.443318123304294;1;12;0.17930000000000001;0
272;25;11;25;3;4;0;1;1.5;22.338347455578955;1;12;0.40950000000000003;1
273;25;11;25;7;7;0;0;1.8;14.538458477999995;0;12;0.6282000000000001;0
274;25;11;25;5;7;0;0;2;15.618821504950901;0;12;0.75;0
275;25;11;25;2;9;4;4;1.4;15.703062335322056;0;12;0.5277999999999999;0
276;26;11;26;1;10;0;0;1.3;37.910403159039205;0;48;1.1829999999999998;0
277;26;11;26;11;7;0;0;2.4;28.31507832026912;0;48;1.6295999999999997;0
278;26;11;26;6;7;0;0;1.9;27.67064194198524;0;48;1.2616;0
279;26;11;26;7;7;0;0;1.8;28.416310407434704;0;48;1.2276;0
280;26;11;26;4;7;0;7;1.1;29.13283671940567;1;48;0.9372;1
281;26;11;26;2;9;4;4;1.4;32.7692475980901;0;48;1.1004;0
282;26;11;26;9;7;0;1;1.6;36.587917454899156;1;48;0.5584;0
283;26;11;26;5;7;0;0;2;29.49667343438561;0;48;1.416;0
284;26;11;26;10;7;0;0;2.2;27.04288712926616;0;48;1.4278000000000002;0
285;26;11;26;3;4;0;1;1.5;33.027866051680334;1;48;0.22349999999999998;0
286;26;11;26;8;7;0;0;1.7;37.28965292239648;0;48;1.5215;0
287;27;11;27;5;7;0;0;2;13.978381696410771;0;12;0.672;0
288;27;11;27;7;7;0;0;1.8;12.898018669459866;0;12;0.558;0
289;27;11;27;9;7;0;1;1.6;17.684625716924323;1;12;0.37440000000000007;0
290;27;11;27;11;7;0;0;2.4;12.79678658229428;0;12;0.7368;0
291;27;11;27;8;7;0;0;1.7;21.77136118442164;0;12;0.8891;0
292;27;11;27;1;10;0;0;1.3;22.392111421064364;0;12;0.6994;0
293;27;11;27;6;7;0;0;1.9;12.1523502040104;0;12;0.5548000000000001;0
294;27;11;27;10;7;0;0;2.2;11.524595391291317;0;12;0.6094;0
295;27;11;27;3;4;0;2;1.5;14.124574313705498;1;12;0.35100000000000003;1
296;27;11;27;2;9;3;3;1.4;20.435169982597397;0;12;0.6873999999999999;0
297;27;11;27;4;7;0;7;1.1;10.22954498143083;1;12;0.3366;0
298;28;11;28;2;9;3;3;1.4;29.594411933391456;0;36;0.9939999999999999;0
299;28;11;28;6;7;0;0;1.9;20.62650567987226;0;36;0.9405;0
300;28;11;28;8;7;0;0;1.7;30.2455166602835;0;36;1.2342;0
301;28;11;28;11;7;0;0;2.4;21.270942058156137;0;36;1.224;0
302;28;11;28;10;7;0;0;2.2;19.998750867153177;0;36;1.056;0
303;28;11;28;5;7;0;0;2;22.452537172272628;0;36;1.078;0
304;28;11;28;1;10;0;0;1.3;30.86626689692622;0;36;0.9633;0
305;28;11;28;9;7;0;1;1.6;22.94878119278618;1;36;0.6992;0
306;28;11;28;7;7;0;0;1.8;21.372174145321722;0;36;0.9234;0
307;28;11;28;3;4;0;2;1.5;19.388729789567353;1;36;0.6555;1
308;28;11;28;4;7;7;8;1.1;20.926092513013998;0;36;1.1044;0
309;28;11;29;10;7;0;0;2.2;21.894007776092604;0;48;1.1572000000000002;0
310;28;11;29;11;7;0;0;2.4;23.166198967095564;0;48;1.3343999999999998;0
311;28;11;29;3;4;3;3;1.5;22.287986756345425;0;48;0.8025;0
312;28;11;29;2;9;2;2;1.4;33.441418356773625;0;48;1.1241999999999999;0
313;28;11;29;6;7;0;0;1.9;22.521762588811686;0;48;1.0279;0
314;28;11;29;4;7;7;8;1.1;26.183016088620093;0;48;1.3838000000000001;0
